"RecordCategory","RecordSubCategory","StartDate","FinishDate","Details"
"Feeding","Left Breast","26-Oct-2020 20:34","26-Oct-2020 20:40",""
"Sleep","","26-Oct-2020 19:43","26-Oct-2020 20:33",""
"Sleep","","26-Oct-2020 19:22","26-Oct-2020 19:29",""
"Sleep","","26-Oct-2020 18:47","26-Oct-2020 19:02",""
"Feeding","Right Breast","26-Oct-2020 18:34","26-Oct-2020 18:40",""
"Feeding","Left Breast","26-Oct-2020 16:41","26-Oct-2020 16:51",""
"Sleep","","26-Oct-2020 15:01","26-Oct-2020 16:00",""
"Feeding","Right Breast","26-Oct-2020 14:52","26-Oct-2020 15:01",""
"Feeding","Left Breast","26-Oct-2020 13:23","26-Oct-2020 13:35",""
"Sleep","","26-Oct-2020 12:14","26-Oct-2020 13:03",""
"Feeding","Right Breast","26-Oct-2020 12:07","26-Oct-2020 12:12",""
"Feeding","Left Breast","26-Oct-2020 11:07","26-Oct-2020 11:16",""
"Sleep","","26-Oct-2020 09:39","26-Oct-2020 10:37",""
"Feeding","Right Breast","26-Oct-2020 09:00","26-Oct-2020 09:06",""
"Sleep","","26-Oct-2020 06:36","26-Oct-2020 09:00",""
"Feeding","Left Breast","26-Oct-2020 06:26","26-Oct-2020 06:32",""
"Sleep","","26-Oct-2020 05:07","26-Oct-2020 06:25",""
"Feeding","Right Breast","26-Oct-2020 04:58","26-Oct-2020 05:03",""
"Sleep","","26-Oct-2020 00:05","26-Oct-2020 04:58",""
"Feeding","Left Breast","25-Oct-2020 23:58","26-Oct-2020 00:00",""
"Sleep","","25-Oct-2020 23:31","25-Oct-2020 23:56",""
"Feeding","Left Breast","25-Oct-2020 23:20","25-Oct-2020 23:30",""
"Sleep","","25-Oct-2020 23:06","25-Oct-2020 23:15",""
"Feeding","Right Breast","25-Oct-2020 22:50","25-Oct-2020 22:59",""
"Feeding","Left Breast","25-Oct-2020 21:36","25-Oct-2020 21:42",""
"Feeding","Right Breast","25-Oct-2020 21:14","25-Oct-2020 21:28",""
"Sleep","","25-Oct-2020 19:43","25-Oct-2020 20:34",""
"Feeding","Left Breast","25-Oct-2020 19:35","25-Oct-2020 19:43",""
"Sleep","","25-Oct-2020 18:48","25-Oct-2020 18:51",""
"Feeding","Right Breast","25-Oct-2020 18:36","25-Oct-2020 18:41",""
"Sleep","","25-Oct-2020 18:04","25-Oct-2020 18:17",""
"Feeding","Left Breast","25-Oct-2020 17:41","25-Oct-2020 17:47",""
"Feeding","Right Breast","25-Oct-2020 16:36","25-Oct-2020 16:49",""
"Feeding","Left Breast","25-Oct-2020 15:24","25-Oct-2020 15:29",""
"Sleep","","25-Oct-2020 13:38","25-Oct-2020 15:22",""
"Feeding","Right Breast","25-Oct-2020 12:53","25-Oct-2020 13:03",""
"Feeding","Left Breast","25-Oct-2020 12:20","25-Oct-2020 12:26",""
"Sleep","","25-Oct-2020 11:33","25-Oct-2020 12:16",""
"Feeding","Right Breast","25-Oct-2020 11:28","25-Oct-2020 11:33",""
"Feeding","Left Breast","25-Oct-2020 10:21","25-Oct-2020 10:35",""
"Feeding","Right Breast","25-Oct-2020 09:16","25-Oct-2020 09:26",""
"Sleep","","25-Oct-2020 08:05","25-Oct-2020 09:10",""
"Feeding","Left Breast","25-Oct-2020 08:00","25-Oct-2020 08:05",""
"Sleep","","25-Oct-2020 06:02","25-Oct-2020 07:59",""
"Feeding","Right Breast","25-Oct-2020 05:48","25-Oct-2020 05:52",""
"Sleep","","24-Oct-2020 23:45","25-Oct-2020 05:48",""
"Feeding","Left Breast","24-Oct-2020 23:33","24-Oct-2020 23:45",""
"Feeding","Right Breast","24-Oct-2020 22:52","24-Oct-2020 23:03",""
"Feeding","Left Breast","24-Oct-2020 21:24","24-Oct-2020 21:30",""
"Feeding","Right Breast","24-Oct-2020 20:17","24-Oct-2020 20:24",""
